id	message
AUTH_KEY_DUPLICATED	The same authorization key (session file) was used in more than one place simultaneously. You must delete your session file and log in again with your phone number or bot token
BANNED_RIGHTS_INVALID	You provided some invalid flags in the banned rights.
CALL_PROTOCOL_COMPAT_LAYER_INVALID	The other side of the call does not support any of the VoIP protocols supported by the local client, as specified by the `protocol.layer` and `protocol.library_versions` fields.
CHANNEL_PRIVATE	You haven't joined this channel/supergroup.
CHANNEL_TOO_LARGE	Channel is too large to be deleted; this error is issued when trying to delete channels with more than 1000 members (subject to change).
CHAT_FORWARDS_RESTRICTED	You can't forward messages from a protected chat.
FILEREF_UPGRADE_NEEDED	The client has to be updated in order to support [file references](https://core.telegram.org/api/file_reference).
FRESH_CHANGE_ADMINS_FORBIDDEN	You were just elected admin, you can't add or modify other admins yet.
FRESH_CHANGE_PHONE_FORBIDDEN	You can't change phone number right after logging in, please wait at least 24 hours.
FRESH_RESET_AUTHORISATION_FORBIDDEN	You can't logout other sessions if less than 24 hours have passed since you logged on the current session.
INVITE_HASH_EXPIRED	The invite link has expired.
PAYMENT_UNSUPPORTED	A detailed description of the error will be received separately as described [here &raquo;](https://core.telegram.org/api/errors#406-not-acceptable).
PHONE_NUMBER_INVALID	The phone number is invalid.
PHONE_PASSWORD_FLOOD	You have tried logging in too many times.
PREVIOUS_CHAT_IMPORT_ACTIVE_WAIT_XMIN	Import for this chat is already in progress, wait {value} minutes before starting a new one.
PRIVACY_PREMIUM_REQUIRED	You need a [Telegram Premium subscription](https://core.telegram.org/api/premium) to send a message to this user.
SEND_CODE_UNAVAILABLE	Returned when all available options for this type of number were already used (e.g. flash-call, then SMS, then this error might be returned to trigger a second resend).
STICKERSET_INVALID	The provided sticker set is invalid.
STICKERSET_OWNER_ANONYMOUS	Provided stickerset can't be installed as group stickerset to prevent admin deanonymization.
TOPIC_CLOSED	This topic was closed, you can't send messages to it anymore.
TOPIC_DELETED	The specified topic was deleted.
USERPIC_PRIVACY_REQUIRED	You need to disable privacy settings for your profile picture in order to make your geolocation public.
USERPIC_UPLOAD_REQUIRED	You must have a profile picture to publish your geolocation.
USER_RESTRICTED	You're spamreported, you can't create channels or chats.
